问卷编号,A1_性别,A2_年龄段,A3_学历,A4_职业,A5_月收入,A6_所在城市级别,B1_最常用平台,B2_每日使用时长,B3_主要登录时间段,F1_Q1_每天使用时间很长,F1_Q2_难以减少使用时间,F1_Q3_随时随地查看社媒,F1_Q4_不用感到焦虑不适,F1_Q5_占据大量空闲时间,F1_Q6_优先浏览再做其他事,F2_Q1_经常点赞收藏,F2_Q2_主动评论发表看法,F2_Q3_经常分享优质内容,F2_Q4_关注追踪创作者,F2_Q5_发布原创内容,F2_Q6_参与活动话题讨论,F3_Q1_推荐内容符合兴趣,F3_Q2_推荐多样性满意,F3_Q3_精准捕捉兴趣变化,F3_Q4_对推荐算法整体满意,F3_Q5_极少推荐不感兴趣内容,F3_Q6_发现新优质内容,F4_Q1_担心过度收集数据,F4_Q2_主动调整隐私权限,F4_Q3_平台数据使用不透明,F4_Q4_担心精准广告推送,F4_Q5_了解隐私法律法规,F4_Q6_因隐私顾虑减少使用,F5_Q1_内容质量整体满意,F5_Q2_有效过滤低质内容,F5_Q3_内容原创性创新性高,F5_Q4_内容信息真实性有保障,F5_Q5_内容深度价值感满意,F5_Q6_比其他平台内容质量更优,C1_信息茧房感知,C2_平台总体满意度
Q0560,男,48岁以上,本科,其他,3000-6000元,二线城市,抖音,2-3小时,早晨(6-9点),5,3,5,4,4,4,4,3,4,4,5,4,5,4,3,4,5,5,3,2,3,3,3,4,4,3,4,4,2,4,偶尔感觉,非常满意
Q0561,女,18-22岁,本科,企业职员,6000-10000元,一线城市,微信视频号,30-60分钟,晚上(20-23点),3,3,3,3,2,2,3,1,2,3,1,2,3,3,3,2,3,5,4,4,5,5,4,4,3,3,3,2,2,2,很少感觉,一般
Q0562,女,33-37岁,本科,自由职业者,3000元以下,一线城市,知乎,1-2小时,深夜(23点以后),1,2,3,3,3,2,4,3,5,3,5,3,2,3,3,3,1,1,3,1,4,2,3,4,3,3,2,2,3,1,经常感觉,不满意
Q0563,男,38-42岁,高中及以下,企业职员,无收入,二线城市,抖音,2-3小时,中午(12-14点),4,4,4,3,3,4,2,2,3,3,3,3,3,3,3,5,3,4,3,3,3,2,1,3,4,3,4,2,4,5,偶尔感觉,满意
Q0564,女,23-27岁,高中及以下,自由职业者,10000-20000元,一线城市,抖音,30-60分钟,晚上(20-23点),3,3,2,3,3,2,3,3,3,3,3,3,3,2,3,4,3,2,3,5,3,2,3,3,3,3,4,3,3,3,经常感觉,一般
Q0565,女,18-22岁,本科,自由职业者,3000-6000元,一线城市,抖音,1-2小时,傍晚(18-20点),3,2,4,4,3,2,1,3,2,2,2,1,3,3,3,3,3,3,4,5,5,3,3,5,2,2,2,2,3,4,偶尔感觉,不满意
Q0566,男,18-22岁,博士,学生,10000-20000元,新一线城市,小红书,2-3小时,晚上(20-23点),3,3,4,3,2,3,3,3,4,3,3,3,4,3,3,2,2,2,3,2,2,1,1,1,1,3,1,1,3,3,经常感觉,一般
Q0567,男,33-37岁,硕士,企业职员,3000-6000元,二线城市,微信,2-3小时,中午(12-14点),2,3,2,3,2,2,3,3,3,3,1,3,3,3,4,4,2,3,5,3,3,3,2,3,4,3,3,3,3,3,经常感觉,满意
Q0568,女,18-22岁,本科,政府/事业单位,6000-10000元,二线城市,B站,4小时以上,晚上(20-23点),5,3,5,5,5,4,4,4,3,5,5,4,3,4,3,2,5,3,4,4,5,3,2,2,5,5,3,4,4,4,经常感觉,满意
Q0569,女,28-32岁,硕士,教师/科研,3000元以下,四线及以下城市,微博,2-3小时,深夜(23点以后),2,3,3,4,4,3,3,3,4,5,4,4,4,5,3,4,5,5,1,2,1,1,1,2,4,5,3,3,4,5,很少感觉,非常满意
Q0570,女,23-27岁,本科,政府/事业单位,3000-6000元,一线城市,B站,3-4小时,上午(9-12点),4,3,4,4,4,4,3,5,4,3,5,3,3,3,2,3,3,3,3,3,3,3,3,2,5,4,4,5,4,4,偶尔感觉,非常满意
Q0571,女,38-42岁,本科,教师/科研,无收入,三线城市,微信,30-60分钟,傍晚(18-20点),3,2,2,3,3,3,1,1,2,1,2,2,3,3,4,3,3,3,5,5,2,4,4,4,2,4,2,5,2,3,偶尔感觉,一般
Q0572,女,23-27岁,硕士,学生,3000-6000元,三线城市,B站,1-2小时,晚上(20-23点),4,3,4,4,3,5,1,3,3,2,3,2,5,2,3,3,5,3,2,2,3,3,2,4,3,3,3,2,2,4,偶尔感觉,满意
Q0573,男,33-37岁,硕士,企业职员,6000-10000元,新一线城市,抖音,4小时以上,早晨(6-9点),3,3,4,2,4,3,3,3,3,3,3,3,3,4,4,3,3,2,2,3,2,2,2,2,3,3,3,3,1,3,总是感觉,一般
Q0574,男,28-32岁,本科,学生,3000-6000元,一线城市,小红书,30-60分钟,下午(14-18点),2,3,2,1,3,3,2,3,2,3,2,3,2,2,3,1,2,2,4,3,4,5,3,5,3,2,2,1,2,1,很少感觉,不满意
Q0575,男,18-22岁,硕士,政府/事业单位,3000-6000元,新一线城市,小红书,3-4小时,下午(14-18点),2,3,5,3,3,4,5,4,3,4,2,3,3,5,3,3,4,5,3,2,1,1,3,3,3,4,5,3,3,3,偶尔感觉,满意
Q0576,女,18-22岁,硕士,企业职员,6000-10000元,三线城市,B站,30-60分钟,中午(12-14点),2,2,3,1,2,3,3,4,2,3,1,2,3,3,4,2,2,2,2,1,3,3,3,4,4,3,2,3,3,3,总是感觉,不满意
Q0577,男,33-37岁,高中及以下,其他,20000元以上,三线城市,抖音,30-60分钟,晚上(20-23点),1,3,1,1,3,1,4,3,3,3,3,2,3,5,3,3,4,2,2,3,3,1,2,3,4,3,3,4,4,3,从不感觉,非常满意
Q0578,男,18-22岁,大专,企业职员,3000-6000元,一线城市,B站,30分钟以内,上午(9-12点),3,1,3,3,3,2,3,3,3,1,1,2,3,4,3,4,5,5,5,5,5,5,5,5,3,3,3,2,2,4,从不感觉,满意
Q0579,男,23-27岁,本科,企业职员,10000-20000元,四线及以下城市,抖音,2-3小时,上午(9-12点),2,4,2,3,3,4,4,3,4,4,4,3,4,2,5,4,3,3,4,3,5,5,4,5,2,3,3,1,2,3,偶尔感觉,一般
Q0580,女,18-22岁,本科,自由职业者,6000-10000元,二线城市,B站,30分钟以内,中午(12-14点),1,2,1,2,1,3,3,1,2,3,1,2,3,2,1,3,3,3,3,3,3,2,4,2,2,3,3,2,2,1,偶尔感觉,不满意
Q0581,男,28-32岁,大专,学生,10000-20000元,二线城市,B站,30-60分钟,晚上(20-23点),2,3,2,2,3,3,3,1,1,2,4,3,3,3,3,1,1,2,4,3,2,5,4,5,5,2,2,3,3,3,偶尔感觉,一般
Q0582,男,38-42岁,大专,其他,20000元以上,二线城市,微博,4小时以上,下午(14-18点),5,5,5,2,4,5,4,4,3,3,2,4,4,3,3,3,2,2,4,3,3,2,3,4,3,4,4,3,4,1,经常感觉,一般
Q0583,男,23-27岁,硕士,政府/事业单位,20000元以上,一线城市,小红书,2-3小时,下午(14-18点),2,5,5,5,3,4,3,3,4,4,5,5,3,5,5,4,4,5,2,3,3,1,3,2,5,4,3,5,4,5,很少感觉,非常满意
Q0584,女,38-42岁,本科,政府/事业单位,10000-20000元,一线城市,知乎,2-3小时,晚上(20-23点),3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,4,3,3,3,4,4,3,3,3,3,3,4,5,3,偶尔感觉,一般
Q0585,男,23-27岁,硕士,企业职员,3000-6000元,一线城市,微信,1-2小时,傍晚(18-20点),2,3,3,2,3,2,3,2,4,3,4,2,4,3,4,3,4,3,4,1,2,2,2,1,3,1,3,2,3,3,从不感觉,满意
Q0586,女,23-27岁,本科,企业职员,3000元以下,三线城市,微博,1-2小时,晚上(20-23点),2,3,4,4,3,3,5,5,3,5,4,5,3,3,4,4,4,5,4,5,5,4,3,3,5,2,3,4,4,4,从不感觉,非常满意
Q0587,男,18-22岁,本科,政府/事业单位,10000-20000元,二线城市,快手,3-4小时,深夜(23点以后),4,3,5,5,4,4,3,3,4,3,3,4,3,4,2,3,2,3,4,2,1,1,1,3,2,4,5,5,4,3,偶尔感觉,满意
Q0588,男,23-27岁,本科,其他,3000元以下,二线城市,小红书,30-60分钟,深夜(23点以后),3,2,3,2,3,3,3,2,3,3,2,4,3,3,3,2,3,1,3,3,3,3,2,3,3,2,3,2,5,4,经常感觉,一般
Q0589,男,33-37岁,硕士,企业职员,6000-10000元,一线城市,微信,4小时以上,晚上(20-23点),5,4,4,5,5,5,4,5,3,4,2,2,4,3,3,4,2,3,3,2,4,3,4,4,2,3,2,3,4,3,总是感觉,一般
Q0590,女,23-27岁,本科,学生,6000-10000元,二线城市,快手,3-4小时,晚上(20-23点),4,3,3,4,3,3,4,3,3,1,2,2,5,4,5,3,5,4,1,2,3,2,2,1,5,5,4,4,4,3,从不感觉,非常满意
Q0591,男,23-27岁,本科,学生,无收入,一线城市,微信,1-2小时,傍晚(18-20点),4,4,3,3,1,3,2,2,2,3,3,2,1,3,3,2,1,3,3,3,5,3,2,3,1,3,2,3,3,2,总是感觉,非常不满意
Q0592,男,23-27岁,大专,政府/事业单位,3000元以下,二线城市,抖音,30-60分钟,傍晚(18-20点),3,3,3,3,2,3,2,1,3,4,3,2,2,2,3,2,2,3,2,4,2,3,2,3,1,3,1,2,1,2,经常感觉,不满意
Q0593,男,23-27岁,高中及以下,企业职员,3000-6000元,三线城市,抖音,2-3小时,傍晚(18-20点),5,5,3,4,4,5,4,4,4,2,3,3,2,4,2,3,2,3,4,1,2,3,2,2,4,3,3,4,3,4,偶尔感觉,满意
Q0594,男,18-22岁,硕士,教师/科研,10000-20000元,新一线城市,微信视频号,1-2小时,下午(14-18点),4,3,3,3,3,4,3,2,3,2,2,3,1,2,1,2,2,3,4,3,3,3,2,3,2,2,3,2,3,3,经常感觉,不满意
Q0595,女,28-32岁,高中及以下,学生,无收入,新一线城市,知乎,1-2小时,上午(9-12点),3,3,3,4,3,3,3,4,4,3,3,3,2,3,3,3,3,3,3,5,4,3,3,5,1,4,3,3,3,3,经常感觉,一般
Q0596,男,28-32岁,本科,学生,20000元以上,四线及以下城市,微信,30分钟以内,下午(14-18点),1,3,3,2,1,2,3,3,3,3,3,2,3,3,3,3,3,4,4,3,3,2,3,3,3,3,2,2,3,2,从不感觉,一般
Q0597,女,18-22岁,本科,企业职员,20000元以上,一线城市,微信视频号,4小时以上,傍晚(18-20点),3,4,4,5,3,3,5,4,4,5,2,4,3,4,5,5,4,5,2,3,1,2,3,3,3,4,3,4,5,3,偶尔感觉,满意
Q0598,女,33-37岁,硕士,自由职业者,10000-20000元,三线城市,微信,3-4小时,下午(14-18点),4,4,4,3,4,5,3,2,4,2,4,4,5,5,5,5,4,4,2,3,2,1,4,2,4,3,4,2,3,3,很少感觉,满意
Q0599,女,38-42岁,本科,学生,6000-10000元,新一线城市,微博,2-3小时,傍晚(18-20点),4,3,5,4,4,4,5,4,4,5,4,3,4,5,3,5,3,3,4,4,4,5,5,3,5,5,4,5,4,3,从不感觉,非常满意
Q0600,男,18-22岁,硕士,企业职员,3000元以下,一线城市,抖音,30分钟以内,深夜(23点以后),2,2,2,1,2,2,3,2,2,1,3,1,3,2,3,2,3,2,3,3,4,2,2,2,3,3,1,4,5,3,经常感觉,一般
Q0601,男,28-32岁,本科,企业职员,6000-10000元,新一线城市,微信,3-4小时,晚上(20-23点),3,1,2,3,3,3,3,3,3,5,3,4,1,2,2,3,1,1,3,3,3,4,5,3,1,3,1,1,1,1,总是感觉,非常不满意
Q0602,男,33-37岁,本科,学生,无收入,新一线城市,抖音,2-3小时,深夜(23点以后),3,4,3,3,1,4,2,2,3,3,4,3,2,4,1,4,3,4,3,2,5,4,5,5,4,3,5,4,2,4,很少感觉,满意
Q0603,女,18-22岁,硕士,学生,6000-10000元,一线城市,抖音,1-2小时,晚上(20-23点),1,3,2,3,3,2,2,4,3,4,3,3,2,3,3,3,1,2,3,4,3,3,2,3,3,3,4,3,2,2,经常感觉,不满意
Q0604,男,33-37岁,硕士,自由职业者,6000-10000元,一线城市,小红书,2-3小时,深夜(23点以后),3,5,4,4,3,4,4,1,3,1,5,3,4,3,2,2,3,3,2,4,1,3,3,3,3,5,3,4,5,3,很少感觉,满意
Q0605,女,28-32岁,本科,企业职员,10000-20000元,一线城市,微信,2-3小时,上午(9-12点),4,3,4,3,3,2,3,2,5,3,3,5,5,5,3,5,4,5,4,4,5,4,3,3,4,2,3,4,3,3,很少感觉,非常满意
Q0606,女,23-27岁,本科,企业职员,无收入,新一线城市,抖音,4小时以上,深夜(23点以后),5,3,3,2,4,3,5,3,4,3,4,4,3,3,3,3,3,3,3,4,3,4,2,2,3,3,2,2,2,5,经常感觉,一般
Q0607,男,28-32岁,硕士,教师/科研,6000-10000元,四线及以下城市,小红书,3-4小时,晚上(20-23点),3,3,3,4,1,5,3,4,4,3,3,3,2,3,3,4,2,2,3,3,2,4,3,5,3,2,3,4,3,5,偶尔感觉,满意
Q0608,男,28-32岁,硕士,企业职员,3000-6000元,二线城市,微信,30-60分钟,晚上(20-23点),2,1,2,2,2,3,1,3,1,2,1,2,2,1,1,2,1,2,3,3,3,3,3,5,3,2,2,3,1,4,经常感觉,不满意
Q0609,女,28-32岁,本科,个体经营者,10000-20000元,新一线城市,抖音,1-2小时,深夜(23点以后),2,1,1,2,3,3,3,3,3,4,4,2,3,3,3,3,4,3,3,3,3,4,2,3,2,2,1,1,1,3,偶尔感觉,不满意
Q0610,女,28-32岁,本科,其他,6000-10000元,三线城市,微信,30分钟以内,傍晚(18-20点),2,2,2,1,3,2,3,3,3,3,2,3,2,2,3,2,3,1,5,4,5,4,5,4,3,2,3,2,2,3,偶尔感觉,不满意
Q0611,女,28-32岁,大专,教师/科研,3000-6000元,二线城市,抖音,2-3小时,晚上(20-23点),4,3,3,5,4,4,2,2,3,2,3,2,2,3,2,3,3,3,3,3,2,4,5,3,2,3,3,3,3,1,经常感觉,一般
Q0612,男,48岁以上,硕士,学生,3000-6000元,一线城市,快手,30-60分钟,傍晚(18-20点),2,3,3,3,1,2,4,4,3,3,1,3,4,4,3,2,4,2,2,2,3,4,1,3,2,4,1,4,3,4,从不感觉,满意
Q0613,女,43-47岁,本科,学生,10000-20000元,新一线城市,快手,30-60分钟,晚上(20-23点),3,3,3,1,3,2,4,4,5,3,2,3,2,4,2,3,1,3,2,1,3,1,4,2,3,3,3,4,3,3,很少感觉,一般
Q0614,男,18-22岁,本科,学生,3000元以下,二线城市,知乎,1-2小时,傍晚(18-20点),3,4,3,4,4,3,4,4,3,4,4,3,3,4,3,3,3,3,4,5,3,3,5,3,3,3,3,2,3,5,很少感觉,满意
Q0615,女,18-22岁,本科,个体经营者,6000-10000元,新一线城市,B站,30-60分钟,傍晚(18-20点),3,3,2,3,2,2,3,3,3,3,3,5,2,3,3,3,4,4,4,3,1,4,3,4,2,3,3,3,4,3,偶尔感觉,一般
Q0616,女,48岁以上,高中及以下,企业职员,6000-10000元,三线城市,小红书,30-60分钟,上午(9-12点),3,3,2,3,2,2,2,1,3,1,3,3,3,5,2,3,4,4,3,3,5,4,3,2,4,3,3,2,3,3,偶尔感觉,满意
Q0617,女,43-47岁,本科,个体经营者,6000-10000元,一线城市,微博,3-4小时,傍晚(18-20点),4,4,5,5,4,4,4,2,4,2,2,3,3,3,3,4,1,3,2,1,5,2,3,1,4,4,4,3,4,3,总是感觉,满意
Q0618,女,33-37岁,硕士,企业职员,3000-6000元,一线城市,微博,30-60分钟,中午(12-14点),1,2,3,1,3,1,1,2,2,3,1,2,3,2,1,3,2,3,3,4,5,4,4,2,1,1,2,1,1,2,经常感觉,不满意
Q0619,男,23-27岁,本科,学生,3000-6000元,三线城市,抖音,2-3小时,晚上(20-23点),4,3,3,3,2,5,5,3,5,4,5,4,5,5,5,5,3,5,3,4,4,4,3,3,5,3,2,4,5,4,从不感觉,非常满意
Q0620,男,18-22岁,本科,政府/事业单位,10000-20000元,一线城市,知乎,1-2小时,晚上(20-23点),2,1,3,2,2,3,2,3,2,2,1,2,1,1,1,2,3,1,4,3,5,4,3,5,3,3,3,3,2,3,经常感觉,一般
Q0621,男,23-27岁,本科,自由职业者,10000-20000元,一线城市,B站,4小时以上,晚上(20-23点),4,4,5,5,4,4,1,2,3,3,3,1,2,3,3,3,1,3,2,2,3,2,3,4,3,3,3,1,3,2,经常感觉,一般
Q0622,男,23-27岁,高中及以下,学生,无收入,三线城市,抖音,4小时以上,下午(14-18点),4,5,4,4,4,3,3,1,3,3,2,3,1,3,1,3,4,2,4,2,4,2,3,1,4,4,2,3,4,4,经常感觉,满意
Q0623,女,23-27岁,本科,个体经营者,无收入,三线城市,小红书,3-4小时,上午(9-12点),4,4,2,4,3,3,4,4,3,4,3,5,3,4,5,1,3,3,3,3,4,5,4,3,4,3,4,3,3,3,很少感觉,满意
Q0624,女,48岁以上,高中及以下,个体经营者,6000-10000元,四线及以下城市,微信,30-60分钟,晚上(20-23点),3,2,2,3,1,3,2,2,1,2,3,2,2,2,1,1,1,1,4,4,3,4,5,3,3,3,4,3,3,3,偶尔感觉,不满意
Q0625,男,23-27岁,本科,自由职业者,3000元以下,一线城市,抖音,1-2小时,晚上(20-23点),3,4,2,3,3,3,3,5,4,2,4,3,2,2,2,3,1,3,3,2,2,2,2,1,3,3,2,3,3,3,很少感觉,不满意
Q0626,男,28-32岁,本科,其他,3000元以下,一线城市,抖音,30-60分钟,晚上(20-23点),1,1,2,2,4,3,3,3,4,3,2,4,3,4,4,3,5,4,3,1,3,3,3,1,3,3,3,2,3,3,从不感觉,满意
Q0627,女,28-32岁,本科,个体经营者,10000-20000元,三线城市,抖音,30-60分钟,早晨(6-9点),3,2,2,2,1,1,3,4,3,2,3,3,2,3,3,4,3,2,2,3,1,3,5,3,3,2,2,1,1,2,很少感觉,一般
Q0628,男,48岁以上,高中及以下,教师/科研,3000元以下,四线及以下城市,微信,3-4小时,晚上(20-23点),5,4,3,5,4,3,4,4,4,5,5,5,3,2,3,3,4,4,4,5,2,4,2,4,2,3,1,2,3,2,总是感觉,一般
Q0629,女,18-22岁,大专,自由职业者,20000元以上,一线城市,抖音,1-2小时,深夜(23点以后),3,2,4,3,2,3,2,3,3,3,2,3,2,3,3,2,4,2,3,4,3,3,1,2,4,3,3,2,3,1,偶尔感觉,一般
Q0630,女,48岁以上,本科,教师/科研,无收入,二线城市,抖音,2-3小时,深夜(23点以后),3,4,3,5,3,3,3,4,3,3,5,4,4,4,3,4,4,4,3,3,4,2,4,4,5,3,4,4,3,2,很少感觉,非常满意
Q0631,男,28-32岁,本科,学生,10000-20000元,二线城市,微博,2-3小时,下午(14-18点),5,5,3,3,3,4,4,2,2,2,5,2,5,5,3,5,5,5,3,3,3,5,4,5,5,5,5,5,5,5,从不感觉,非常满意
Q0632,男,23-27岁,本科,企业职员,无收入,四线及以下城市,微博,1-2小时,中午(12-14点),3,3,3,3,3,3,2,2,3,4,3,1,3,3,3,3,3,2,3,3,3,2,3,2,3,2,2,3,3,3,偶尔感觉,不满意
Q0633,男,43-47岁,本科,企业职员,20000元以上,四线及以下城市,微博,30分钟以内,中午(12-14点),3,3,2,2,2,3,4,3,3,3,4,3,3,3,3,5,3,3,4,3,4,3,3,3,1,2,3,4,3,3,从不感觉,一般
Q0634,男,23-27岁,硕士,教师/科研,6000-10000元,三线城市,微信视频号,1-2小时,晚上(20-23点),3,3,3,4,3,3,3,3,3,3,2,3,2,2,2,1,2,1,4,3,2,3,3,3,2,3,3,2,3,3,偶尔感觉,一般
Q0635,男,23-27岁,硕士,个体经营者,无收入,二线城市,小红书,2-3小时,晚上(20-23点),2,4,3,3,2,4,2,3,5,4,2,2,3,2,4,3,3,3,1,3,3,3,4,3,1,2,2,3,1,3,偶尔感觉,满意
Q0636,男,48岁以上,本科,政府/事业单位,6000-10000元,二线城市,微信,30-60分钟,中午(12-14点),2,3,3,2,3,3,1,2,3,2,3,2,3,1,3,1,4,2,3,4,3,4,4,3,4,3,3,4,4,4,很少感觉,一般
Q0637,女,33-37岁,硕士,学生,3000-6000元,三线城市,抖音,30-60分钟,晚上(20-23点),3,3,1,2,3,2,3,3,1,2,3,2,4,3,3,2,4,2,3,3,3,3,1,5,3,1,2,2,3,3,很少感觉,一般
Q0638,男,18-22岁,大专,学生,6000-10000元,三线城市,微信,3-4小时,深夜(23点以后),5,4,4,4,3,4,5,2,4,3,4,4,4,3,4,3,4,4,3,1,3,3,2,3,5,4,5,5,4,4,很少感觉,非常满意
Q0639,男,43-47岁,本科,自由职业者,10000-20000元,二线城市,微信,4小时以上,傍晚(18-20点),5,3,4,3,4,2,4,3,3,2,3,4,4,5,4,3,4,3,2,3,1,2,3,3,3,4,3,4,3,3,偶尔感觉,满意
Q0640,女,23-27岁,本科,学生,20000元以上,一线城市,微信视频号,2-3小时,晚上(20-23点),3,3,4,5,3,3,2,2,1,3,1,2,1,1,2,2,2,3,1,4,3,1,1,1,2,3,3,3,3,3,总是感觉,不满意
Q0641,女,23-27岁,博士,自由职业者,3000-6000元,三线城市,B站,4小时以上,深夜(23点以后),5,4,5,4,5,5,5,4,3,5,4,4,5,5,5,5,4,4,3,3,4,4,4,4,5,4,5,5,5,5,偶尔感觉,非常满意
Q0642,女,33-37岁,硕士,学生,6000-10000元,新一线城市,快手,3-4小时,深夜(23点以后),3,3,4,3,3,4,3,4,4,3,3,4,2,3,3,2,3,4,1,2,3,2,1,1,2,1,3,2,1,1,总是感觉,一般
Q0643,女,38-42岁,本科,个体经营者,3000元以下,新一线城市,B站,1-2小时,傍晚(18-20点),3,1,2,3,2,3,2,3,3,2,3,4,2,3,1,3,3,2,3,4,4,4,5,5,3,3,3,3,1,3,偶尔感觉,一般
Q0644,女,18-22岁,本科,政府/事业单位,3000元以下,一线城市,抖音,1-2小时,早晨(6-9点),3,2,3,3,3,3,4,4,4,3,4,3,3,4,1,3,2,3,4,4,3,4,4,5,3,4,4,5,4,1,偶尔感觉,一般
Q0645,女,48岁以上,博士,学生,10000-20000元,新一线城市,知乎,1-2小时,上午(9-12点),3,4,3,2,3,3,4,4,2,4,3,3,4,3,4,3,2,2,1,3,2,1,3,2,3,3,3,3,2,4,偶尔感觉,一般
Q0646,女,23-27岁,硕士,其他,6000-10000元,新一线城市,抖音,1-2小时,傍晚(18-20点),3,3,3,3,3,4,2,1,2,2,2,3,3,2,2,2,3,3,3,4,3,3,4,4,1,1,1,2,2,2,经常感觉,非常不满意
Q0647,男,23-27岁,本科,个体经营者,6000-10000元,三线城市,B站,4小时以上,晚上(20-23点),3,5,4,3,5,5,3,3,3,4,4,4,5,4,5,3,3,5,3,3,3,2,1,2,5,5,5,5,4,4,很少感觉,非常满意
Q0648,男,43-47岁,硕士,其他,3000-6000元,一线城市,B站,1-2小时,中午(12-14点),3,2,3,1,4,1,2,2,3,3,3,4,4,3,4,3,2,3,4,3,4,5,5,5,2,2,1,1,1,2,很少感觉,一般
Q0649,女,23-27岁,本科,自由职业者,3000元以下,新一线城市,知乎,1-2小时,早晨(6-9点),2,4,4,3,3,5,1,1,3,3,2,4,4,4,4,5,4,4,3,3,4,3,3,3,3,3,4,4,2,3,从不感觉,非常满意
Q0650,女,28-32岁,本科,自由职业者,10000-20000元,三线城市,B站,30-60分钟,晚上(20-23点),3,3,3,1,3,2,2,1,1,1,4,1,2,2,3,2,3,2,1,1,4,4,3,2,1,3,1,1,1,1,从不感觉,非常不满意
Q0651,男,18-22岁,本科,自由职业者,10000-20000元,新一线城市,抖音,2-3小时,上午(9-12点),4,3,4,4,3,3,4,3,3,3,2,1,4,5,3,3,5,5,1,3,4,3,2,4,2,3,2,3,3,3,很少感觉,满意
Q0652,男,18-22岁,本科,企业职员,无收入,二线城市,B站,2-3小时,深夜(23点以后),3,4,3,3,4,4,4,3,1,3,3,4,4,4,4,4,3,3,3,3,5,5,4,4,3,2,3,4,2,4,偶尔感觉,一般
Q0653,女,23-27岁,本科,企业职员,6000-10000元,新一线城市,B站,3-4小时,晚上(20-23点),3,4,2,4,3,4,4,3,3,3,2,3,4,2,2,2,3,2,2,2,2,2,3,2,3,3,3,2,4,3,偶尔感觉,满意
Q0654,男,28-32岁,高中及以下,其他,10000-20000元,一线城市,快手,30分钟以内,中午(12-14点),3,2,2,2,2,3,2,3,3,2,3,2,3,3,3,3,4,2,4,5,3,5,3,5,2,2,2,2,1,1,从不感觉,一般
Q0655,男,18-22岁,本科,企业职员,3000-6000元,二线城市,小红书,30-60分钟,傍晚(18-20点),2,1,2,2,2,1,3,3,3,3,3,3,1,2,3,3,2,1,3,5,4,3,3,3,1,2,2,2,2,2,总是感觉,不满意
Q0656,女,23-27岁,本科,自由职业者,20000元以上,二线城市,抖音,1-2小时,深夜(23点以后),2,1,3,2,3,2,3,4,5,4,5,5,1,1,1,2,1,1,3,3,4,3,3,4,3,3,3,3,1,1,总是感觉,非常不满意
Q0657,女,18-22岁,硕士,自由职业者,6000-10000元,二线城市,抖音,30分钟以内,傍晚(18-20点),2,1,2,3,2,1,3,3,4,2,3,3,1,1,3,1,2,3,3,2,2,3,2,2,3,1,3,3,1,2,偶尔感觉,不满意
Q0658,男,28-32岁,本科,企业职员,10000-20000元,四线及以下城市,微信,30分钟以内,深夜(23点以后),2,1,1,3,1,2,3,3,3,2,4,3,1,3,3,2,2,1,5,3,4,3,4,3,3,3,1,2,1,2,偶尔感觉,非常不满意
Q0659,女,18-22岁,本科,教师/科研,3000元以下,新一线城市,B站,30分钟以内,中午(12-14点),2,2,2,2,3,1,1,2,1,1,1,1,2,3,1,3,2,3,3,4,5,2,4,5,3,1,1,3,2,2,很少感觉,不满意
Q0660,女,43-47岁,本科,企业职员,无收入,二线城市,微信视频号,3-4小时,深夜(23点以后),4,4,5,3,4,4,3,3,3,1,2,1,4,2,3,3,2,3,2,3,2,3,3,4,1,3,1,1,1,1,经常感觉,不满意
Q0661,男,43-47岁,硕士,企业职员,6000-10000元,一线城市,微博,2-3小时,晚上(20-23点),3,4,4,4,3,3,4,4,4,4,3,5,4,4,2,3,3,3,3,2,2,3,3,1,3,4,2,2,4,4,经常感觉,一般
Q0662,女,33-37岁,本科,教师/科研,20000元以上,四线及以下城市,微信,4小时以上,中午(12-14点),5,3,4,5,5,4,3,2,3,4,2,4,4,4,3,3,4,3,2,1,1,3,2,3,4,4,4,4,5,3,经常感觉,非常满意
Q0663,男,23-27岁,硕士,企业职员,3000元以下,一线城市,B站,30分钟以内,晚上(20-23点),1,1,1,1,3,1,2,3,1,1,4,3,3,2,2,1,2,1,3,3,3,3,3,3,3,2,1,2,3,2,偶尔感觉,不满意
Q0664,男,38-42岁,本科,自由职业者,10000-20000元,二线城市,微信,3-4小时,傍晚(18-20点),5,4,3,3,4,5,1,1,3,3,3,3,4,3,2,2,3,3,2,3,1,3,1,3,4,2,3,3,4,4,偶尔感觉,满意
Q0665,女,43-47岁,硕士,企业职员,10000-20000元,新一线城市,微信,1-2小时,傍晚(18-20点),2,4,3,4,2,3,4,3,3,3,3,3,4,3,2,3,3,3,2,3,1,3,2,1,3,1,3,3,2,4,总是感觉,一般
Q0666,男,33-37岁,本科,教师/科研,10000-20000元,二线城市,抖音,1-2小时,晚上(20-23点),2,1,1,3,2,2,3,3,3,4,4,5,4,3,3,4,4,3,4,2,3,3,3,4,3,3,4,2,3,2,很少感觉,一般
Q0667,女,18-22岁,本科,企业职员,3000元以下,四线及以下城市,微信,30分钟以内,傍晚(18-20点),3,3,2,2,2,1,1,1,1,2,2,1,2,2,3,3,2,1,3,3,3,3,3,3,1,2,2,2,1,2,很少感觉,不满意
Q0668,男,18-22岁,本科,个体经营者,6000-10000元,二线城市,快手,30-60分钟,晚上(20-23点),3,2,2,3,3,3,3,3,4,4,4,3,4,5,3,4,3,3,5,5,3,4,4,3,3,3,3,4,4,4,从不感觉,满意
